"RussianPhrase","EnglishPhrase","sound","prevPhrase","nextPhrase","prevRussianPhrase","nextRussianPhrase","order","date","filePath","created_at","id"
"Но они, как правило, не беспокоят нас и не отвлекают нас слишком сильно.",But they tend not to bother us or distract us too much.,[sound:But.they.tend.not.to.bother.us.or.distract.us.too.much..mp4],"OK, so maybe there are just a few clouds.",Especially if they are the cute little fluffy variety.,"Окей, так, может быть, на нём есть несколько облаков.","Особенно, если они милого, маленького, пушистого вида.",6,170101,Ясный_ум.EN.srt,,
"Особенно, если они милого, маленького, пушистого вида.",Especially if they are the cute little fluffy variety.,[sound:Especially.if.they.are.the.cute.little.fluffy.variety..mp4],But they tend not to bother us or distract us too much.,This is how the mind appears when it's calm.,"Но они, как правило, не беспокоят нас и не отвлекают нас слишком сильно.","Это то, как ум представляется, когда всё спокойно.",7,170101,Ясный_ум.EN.srt,,
"Углеводами, белками, железом и цинком,","Carbohydrates, proteins, iron, and zinc,","[sound:Carbohydrates..proteins..iron..and.zinc..mp4]","that the kiss feeding provides nutrients:","which are not always available in breast milk.","что кормление по-птичьи обеспечивает питательными веществами:","которые не всегда есть в грудном молоке.","40","170701","Почему_мы_целуемся__часть_1_.EN.srt",,
"Это то, как ум представляется, когда всё спокойно.",This is how the mind appears when it's calm.,[sound:This.is.how.the.mind.appears.when.it.s.calm..mp4],Especially if they are the cute little fluffy variety.,"Bright, serene and happy.","Особенно, если они милого, маленького, пушистого вида.","Ясный, спокойный и счастливый.",8,170101,Ясный_ум.EN.srt,,
"Ясный, спокойный и счастливый.","Bright, serene and happy.",[sound:Bright..serene.and.happy..mp4],This is how the mind appears when it's calm.,But life isn't always easy.,"Это то, как ум представляется, когда всё спокойно.",Но жизнь не всегда легка.,9,170101,Ясный_ум.EN.srt,,
